,acr-nema,"ACR\-NEMA\ Digital\ Imag\ \ Comm\ 300",104,N
,cso,"CCSO\ name\ server\ protocol",105,N
,cso,"CCSO\ name\ server\ protocol",105,N
,csnet-ns,"Mailbox\ Name\ Nameserver",105,N
,csnet-ns,"Mailbox\ Name\ Nameserver",105,N
,3com-tsmux,3COM\-TSMUX,106,N
,3com-tsmux,3COM\-TSMUX,106,N
,rtelnet,"Remote\ Telnet\ Service",107,N
,rtelnet,"Remote\ Telnet\ Service",107,N
,snagas,"SNA\ Gateway\ Access\ Server",108,N
,snagas,"SNA\ Gateway\ Access\ Server",108,N
,pop2,"Post\ Office\ Protocol\ \-\ Version\ 2",109,N
,pop2,"Post\ Office\ Protocol\ \-\ Version\ 2",109,N
,pop3,"Post\ Office\ Protocol\ \-\ Version\ 3",110,N
,pop3,"Post\ Office\ Protocol\ \-\ Version\ 3",110,N
,sunrpc,"SUN\ Remote\ Procedure\ Call",111,N
,sunrpc,"SUN\ Remote\ Procedure\ Call",111,N
,mcidas,"McIDAS\ Data\ Transmission\ Protocol",112,N
,mcidas,"McIDAS\ Data\ Transmission\ Protocol",112,N
,ident,,113,N
,auth,"Authentication\ Service",113,N
,auth,"Authentication\ Service",113,N
,sftp,"Simple\ File\ Transfer\ Protocol",115,N
,sftp,"Simple\ File\ Transfer\ Protocol",115,N
,ansanotify,"ANSA\ REX\ Notify",116,N
,ansanotify,"ANSA\ REX\ Notify",116,N
,uucp-path,"UUCP\ Path\ Service",117,N
,uucp-path,"UUCP\ Path\ Service",117,N
,sqlserv,"SQL\ Services",118,N
,sqlserv,"SQL\ Services",118,N
,nntp,"Network\ News\ Transfer\ Protocol",119,N
,nntp,"Network\ News\ Transfer\ Protocol",119,N
,cfdptkt,CFDPTKT,120,N
,cfdptkt,CFDPTKT,120,N
,erpc,"Encore\ Expedited\ Remote\ ProCall",121,N
,erpc,"Encore\ Expedited\ Remote\ ProCall",121,N
,smakynet,SMAKYNET,122,N
,smakynet,SMAKYNET,122,N
,ntp,"Network\ Time\ Protocol",123,N
,ntp,"Network\ Time\ Protocol",123,N
,ansatrader,"ANSA\ REX\ Trader",124,N
,ansatrader,"ANSA\ REX\ Trader",124,N
,locus-map,"Locus\ PC\-Interface\ Net\ Map\ Ser",125,N
,locus-map,"Locus\ PC\-Interface\ Net\ Map\ Ser",125,N
,nxedit,NXEdit,126,N
,nxedit,NXEdit,126,N
,locus-con,"Locus\ PC\-Interface\ Conn\ Server",127,N
,locus-con,"Locus\ PC\-Interface\ Conn\ Server",127,N
,gss-xlicen,"GSS\ X\ License\ Verification",128,N
,gss-xlicen,"GSS\ X\ License\ Verification",128,N
,pwdgen,"Password\ Generator\ Protocol",129,N
,pwdgen,"Password\ Generator\ Protocol",129,N
,cisco-fna,"cisco\ FNATIVE",130,N
,cisco-fna,"cisco\ FNATIVE",130,N
,cisco-tna,"cisco\ TNATIVE",131,N
,cisco-tna,"cisco\ TNATIVE",131,N
,cisco-sys,"cisco\ SYSMAINT",132,N
,cisco-sys,"cisco\ SYSMAINT",132,N
,statsrv,"Statistics\ Service",133,N
,statsrv,"Statistics\ Service",133,N
,ingres-net,"INGRES\-NET\ Service",134,N
,ingres-net,"INGRES\-NET\ Service",134,N
,epmap,"DCE\ endpoint\ resolution",135,N
,epmap,"DCE\ endpoint\ resolution",135,N
,profile,"PROFILE\ Naming\ System",136,N
,profile,"PROFILE\ Naming\ System",136,N
,netbios-ns,"NETBIOS\ Name\ Service",137,N
,netbios-ns,"NETBIOS\ Name\ Service",137,N
,netbios-dgm,"NETBIOS\ Datagram\ Service",138,N
,netbios-dgm,"NETBIOS\ Datagram\ Service",138,N
,netbios-ssn,"NETBIOS\ Session\ Service",139,N
,netbios-ssn,"NETBIOS\ Session\ Service",139,N
,emfis-data,"EMFIS\ Data\ Service",140,N
,emfis-data,"EMFIS\ Data\ Service",140,N
,emfis-cntl,"EMFIS\ Control\ Service",141,N
,emfis-cntl,"EMFIS\ Control\ Service",141,N
,bl-idm,"Britton\-Lee\ IDM",142,N
,bl-idm,"Britton\-Lee\ IDM",142,N
,imap,"Internet\ Message\ Access\ Protocol",143,N
,imap,"Internet\ Message\ Access\ Protocol",143,N
,uma,"Universal\ Management\ Architecture",144,N
,uma,"Universal\ Management\ Architecture",144,N
,uaac,"UAAC\ Protocol",145,N
,uaac,"UAAC\ Protocol",145,N
,iso-tp0,ISO\-IP0,146,N
,iso-tp0,ISO\-IP0,146,N
,iso-ip,ISO\-IP,147,N
,iso-ip,ISO\-IP,147,N
,jargon,Jargon,148,N
,jargon,Jargon,148,N
,aed-512,"AED\ 512\ Emulation\ Service",149,N
,aed-512,"AED\ 512\ Emulation\ Service",149,N
,sql-net,SQL\-NET,150,N
,sql-net,SQL\-NET,150,N
,hems,HEMS,151,N
,hems,HEMS,151,N
,bftp,"Background\ File\ Transfer\ Program",152,N
,bftp,"Background\ File\ Transfer\ Program",152,N
,sgmp,SGMP,153,N
,sgmp,SGMP,153,N
,netsc-prod,NETSC,154,N
,netsc-prod,NETSC,154,N
,netsc-dev,NETSC,155,N
,netsc-dev,NETSC,155,N
,sqlsrv,"SQL\ Service",156,N
,sqlsrv,"SQL\ Service",156,N
,knet-cmp,"KNETVM\ CommandMessage\ Protocol",157,N
,knet-cmp,"KNETVM\ CommandMessage\ Protocol",157,N
,pcmail-srv,"PCMail\ Server",158,N
,pcmail-srv,"PCMail\ Server",158,N
,nss-routing,NSS\-Routing,159,N
,nss-routing,NSS\-Routing,159,N
,sgmp-traps,SGMP\-TRAPS,160,N
,sgmp-traps,SGMP\-TRAPS,160,N
,snmp,SNMP,161,N
,snmp,SNMP,161,N
,snmptrap,SNMPTRAP,162,N
,snmptrap,SNMPTRAP,162,N
,cmip-man,"CMIPTCP\ Manager",163,N
,cmip-man,"CMIPTCP\ Manager",163,N
,cmip-agent,"CMIPTCP\ Agent",164,N
,cmip-agent,"CMIPTCP\ Agent",164,N
,xns-courier,Xerox,165,N
,xns-courier,Xerox,165,N
,s-net,"Sirius\ Systems",166,N
,s-net,"Sirius\ Systems",166,N
,namp,NAMP,167,N
,namp,NAMP,167,N
,rsvd,RSVD,168,N
,rsvd,RSVD,168,N
,send,SEND,169,N
,send,SEND,169,N
,print-srv,"Network\ PostScript",170,N
,print-srv,"Network\ PostScript",170,N
,multiplex,"Network\ Innovations\ Multiplex",171,N
,multiplex,"Network\ Innovations\ Multiplex",171,N
,cl/1,"Network\ Innovations\ CL1",172,N
,cl/1,"Network\ Innovations\ CL1",172,N
,xyplex-mux,Xyplex,173,N
,xyplex-mux,Xyplex,173,N
,mailq,MAILQ,174,N
,mailq,MAILQ,174,N
,vmnet,VMNET,175,N
,vmnet,VMNET,175,N
,genrad-mux,GENRAD\-MUX,176,N
,genrad-mux,GENRAD\-MUX,176,N
,xdmcp,"X\ Display\ Manager\ Control\ Protocol",177,N
,xdmcp,"X\ Display\ Manager\ Control\ Protocol",177,N
,nextstep,"NextStep\ Window\ Server",178,N
,nextstep,"NextStep\ Window\ Server",178,N
,bgp,"Border\ Gateway\ Protocol",179,N
,bgp,"Border\ Gateway\ Protocol",179,N
,ris,Intergraph,180,N
,ris,Intergraph,180,N
,unify,Unify,181,N
,unify,Unify,181,N
,audit,"Unisys\ Audit\ SITP",182,N
,audit,"Unisys\ Audit\ SITP",182,N
,ocbinder,OCBinder,183,N
,ocbinder,OCBinder,183,N
,ocserver,OCServer,184,N
,ocserver,OCServer,184,N
,remote-kis,Remote\-KIS,185,N
,remote-kis,Remote\-KIS,185,N
,kis,"KIS\ Protocol",186,N
,kis,"KIS\ Protocol",186,N
,aci,"Application\ Communication\ Interface",187,N
,aci,"Application\ Communication\ Interface",187,N
,mumps,"Plus\ Fives\ MUMPS",188,N
,mumps,"Plus\ Fives\ MUMPS",188,N
,qft,"Queued\ File\ Transport",189,N
,qft,"Queued\ File\ Transport",189,N
,gacp,"Gateway\ Access\ Control\ Protocol",190,N
,gacp,"Gateway\ Access\ Control\ Protocol",190,N
,prospero,"Prospero\ Directory\ Service",191,N
,prospero,"Prospero\ Directory\ Service",191,N
,osu-nms,"OSU\ Network\ Monitoring\ System",192,N
,osu-nms,"OSU\ Network\ Monitoring\ System",192,N
,srmp,"Spider\ Remote\ Monitoring\ Protocol",193,N
,srmp,"Spider\ Remote\ Monitoring\ Protocol",193,N
,irc,"Internet\ Relay\ Chat\ Protocol",194,N
,irc,"Internet\ Relay\ Chat\ Protocol",194,N
,dn6-nlm-aud,"DNSIX\ Network\ Level\ Module\ Audit",195,N
,dn6-nlm-aud,"DNSIX\ Network\ Level\ Module\ Audit",195,N
,dn6-smm-red,"DNSIX\ Session\ Mgt\ Module\ Audit\ Redir",196,N
,dn6-smm-red,"DNSIX\ Session\ Mgt\ Module\ Audit\ Redir",196,N
,dls,"Directory\ Location\ Service",197,N
,dls,"Directory\ Location\ Service",197,N
,dls-mon,"Directory\ Location\ Service\ Monitor",198,N
